capture_id,product,viewport,page_area,state,source_url,final_url,page_title,filename,absolute_path,captured_at_local,width_px,height_px,file_size_bytes,document_scroll_width,document_scroll_height,auto_scroll_iterations,reached_bottom,popup_action,authentication_state,status,attempt_count,failure_reason,related_pa1_figure,related_pa1_use_case,notes_factual_only
"fifa-15-article-body","fifa","desktop","article body","loaded","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","https://inside.fifa.com/tournament-organisation/commercial/media-releases/world-cup-26-ticketing-programme-launch-september","FIFA World Cup 26™ Ticketing Programme launches this September","fifa-15-article-body.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-15-article-body.png","2026-07-30 14:52:02 +07:00","1440","5265","1773534","1440","5265","4","true","Reject All","PUBLIC","SUCCESS","1","","F-06","F-UC3","Popup action: Reject All."
"fifa-16-tournament-landing","fifa","desktop","tournament","landing","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","FIFA World Cup 2026™","fifa-16-tournament-landing.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-16-tournament-landing.png","2026-07-30 14:52:35 +07:00","1440","11554","4848550","1440","11554","20","true","Reject All","PUBLIC","SUCCESS","1","","F-07","F-UC4","Popup action: Reject All."
"fifa-17-tournament-after-modal-dismiss","fifa","desktop","tournament","after modal dismissed","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","FIFA World Cup 2026™","fifa-17-tournament-after-modal-dismiss.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-17-tournament-after-modal-dismiss.png","2026-07-30 14:53:09 +07:00","1440","11561","5935266","1440","11561","19","true","Reject All","PUBLIC","SUCCESS","1","","F-07","F-UC4","Popup action: Reject All."
"fifa-18-tournament-subnavigation","fifa","desktop","tournament subnavigation","default","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026","FIFA World Cup 2026™","fifa-18-tournament-subnavigation.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-18-tournament-subnavigation.png","2026-07-30 14:53:43 +07:00","1440","11561","6336888","1440","11561","18","true","Reject All","PUBLIC","SUCCESS","1","","F-07","","Popup action: Reject All."
"fifa-19-rankings","fifa","desktop","rankings","men ranking","https://inside.fifa.com/fifa-world-ranking/men","https://inside.fifa.com/fifa-rankings/world-ranking/men","FIFA/Coca-Cola Men's World Ranking","fifa-19-rankings.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-19-rankings.png","2026-07-30 14:54:11 +07:00","1440","5781","2644279","1440","5781","7","true","Reject All","PUBLIC","SUCCESS","1","","","","Popup action: Reject All. Page final URL: https://inside.fifa.com/fifa-rankings/world-ranking/men."
"fifa-20-tickets-hospitality-landing","fifa","desktop","Tickets and Hospitality","landing","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-20-tickets-hospitality-landing.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-20-tickets-hospitality-landing.png","2026-07-30 14:54:42 +07:00","1440","5729","1970535","1440","5729","14","true","Reject All","PUBLIC","SUCCESS","1","","","F-UC4","Popup action: Reject All."
"fifa-21-tournament-logo-row","fifa","desktop","Tickets and Hospitality","tournament logo row","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-21-tournament-logo-row.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-21-tournament-logo-row.png","2026-07-30 14:55:21 +07:00","1440","5729","1970535","1440","5729","14","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-22-ticket-card","fifa","desktop","ticket card","current","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-22-ticket-card.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-22-ticket-card.png","2026-07-30 14:56:01 +07:00","1440","5729","1970535","1440","5729","14","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-23-hospitality-card","fifa","desktop","hospitality card","current","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-23-hospitality-card.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-23-hospitality-card.png","2026-07-30 14:56:40 +07:00","1440","5729","1970535","1440","5729","13","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
"fifa-24-explore-details-state","fifa","desktop","ticket CTA","Explore details","https://www.fifa.com/en/tickets","https://www.fifa.com/en/tickets","TICKETS & HOSPITALITY","fifa-24-explore-details-state.png","C:\Users\Administrator\Documents\MEGA\tkgd\PA2\capture-work\fifa\desktop\fifa-24-explore-details-state.png","2026-07-30 14:57:20 +07:00","1440","5729","1970535","1440","5729","13","true","Reject All","PUBLIC","MISSING_CURRENT_STATE","1","waitForText unavailable: locator.waitFor: Timeout 10000ms exceeded.","","","Popup action: Reject All."
